id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
99547,Lapa Archs | Santa Teresa best studio for 2 people,524101,Fabiana,,Centro,-22.91408,-43.18233,Entire home/apt,126,4,61,2021-03-11,0.58,1,347,1,
99971,Right in front of the beach in Rio!,525976,Ricardo,,Leblon,-22.98812,-43.22897,Entire home/apt,387,3,107,2019-12-03,1.66,1,290,0,
101182,APARTAMENT IN FRONT OF THE BEACH,530471,Hugo,,Botafogo,-22.94837,-43.18315,Entire home/apt,200,4,0,,,3,359,0,
103053,santa teresa bairro fatima lapa,533278,Kaka,,Santo Cristo,-22.90559,-43.20979,Private room,390,1,0,,,1,365,0,
106372,Reveillon & Natal na Barra da Tijuca. Rj,551316,Katia,,Barra da Tijuca,-23.00744,-43.43045,Entire home/apt,650,4,7,2016-08-13,0.15,1,362,0,
107469,Quarto confortável com vista panorâmica,556738,Casa Da Carmen E,,Santa Teresa,-22.91889,-43.18038,Private room,54,60,2,2018-12-21,0.02,4,301,0,
108072,Nice 1 BR Apartment in Copacabana,521514,Chris,,Copacabana,-22.98314,-43.19086,Entire home/apt,200,4,149,2021-08-26,1.20,1,301,8,
108882,Gloria Sunshine Apartment in Rio,475926,Angelica/ Fca,,Glória,-22.91972,-43.1789,Entire home/apt,261,3,58,2017-02-14,0.53,1,61,1,
109747,IPANEMA'S MOST BEAUTIFUL VIEW for 6+2,554897,Jane,,Ipanema,-22.98697,-43.19751,Entire home/apt,753,2,163,2021-09-27,1.48,1,295,15,
118355,HOUSE IN GARDEN,523251,Humberto,,Itanhangá,-22.98752,-43.31505,Entire home/apt,2631,1,4,2019-03-06,0.88,6,240,2,
125656,"Copacabana Studio -  5* Reviews, 5 mins to Beach",624433,Alan & Catherine,,Copacabana,-22.9696,-43.1887,Entire home/apt,320,2,85,2020-02-27,0.68,1,302,0,
128727,Double room in family house,622729,Geraldo & Shalluan,,Praça Seca,-22.895765,-43.353809,Private room,250,1,4,2016-08-22,0.07,1,0,0,
130234,excellent studio apartment,641519,Osvaldo,,Copacabana,-22.97575,-43.18877,Entire home/apt,180,3,4,2018-10-21,0.12,1,0,0,
132114,beauty beedrom in Laranjeiras.,649320,Stella E Antonio,,Laranjeiras,-22.93707,-43.19071,Private room,105,1,5,2016-06-05,0.11,1,363,0,
132832,COPACABANA Beach View Room,652627,Ana,,Copacabana,-22.98282,-43.18935,Private room,148,2,4,2019-01-04,0.06,5,0,0,
132909,QUARTO PRIVATIVO,652889,Fernando Patricio,,Maracanã,-22.91547,-43.22638,Private room,300,1,1,2016-02-02,0.01,1,364,0,
133221,The room has its own toilet.,6416134,Rosangela,,Santa Teresa,-22.91882,-43.17828,Private room,70,2,30,2013-11-20,0.29,1,363,0,
137002,"Very sophisticated in the mettle of Leblon, av. Cupertino",635510,Gilberto,,Leblon,-22.98251,-43.22108,Entire home/apt,957,2,24,2021-08-24,0.21,5,298,9,
137048,Charming 2 bedroom flat in Leblon,670198,Clarisse,,Leblon,-22.98175,-43.22492,Entire home/apt,201,3,35,2011-09-25,0.60,1,236,3,
137150,Penthouse at Lagoa close to Ipanema,670788,Roberto,,Lagoa,-22.97366,-43.20493,Entire home/apt,2782,21,0,,,1,365,0,
137343,"2BR, 2 blocks from Ipanema Beach",671579,Karen,,Ipanema,-22.98456,-43.1956,Entire home/apt,393,6,39,2018-12-20,0.37,1,239,0,
